id;start_date;end_date;language
1;2023-09-20T08:59:58;2023-09-20T04:46:23;SPANISH
2;2023-09-19T15:14:08;2023-09-20T00:14:04;ENGLISH
3;2023-09-19T22:32:14;2023-09-19T14:48:09;FRENCH
4;2023-09-19T13:49:37;2023-09-19T21:49:06;SPANISH
5;2023-09-20T09:41:34;2023-09-20T09:13:40;FRENCH
6;2023-09-20T05:56:59;2023-09-20T12:30:20;SPANISH
7;2023-09-20T01:27:01;2023-09-19T13:48:09;FRENCH
8;2023-09-19T19:56:01;2023-09-20T01:53:45;SPANISH
9;2023-09-20T11:47:54;2023-09-20T11:35:40;SPANISH
10;2023-09-19T18:29:22;2023-09-20T12:31:45;FRENCH
